"tenure","churn","gender","marital"
22,0,"Male","Married"
18,0,"Female","Married"
64,0,"Female","Married"
7,1,"Female","Unmarried"
65,0,"Female","Unmarried"
7,1,"Male","Unmarried"
64,0,"Female","Unmarried"
42,1,"Male","Married"
33,0,"Female","Unmarried"
3,1,"Female","Unmarried"
69,0,"Male","Married"
9,0,"Male","Unmarried"
22,0,"Male","Married"
53,0,"Male","Married"
71,0,"Male","Unmarried"
24,0,"Male","Unmarried"
12,0,"Female","Married"
25,1,"Male","Married"
63,0,"Female","Married"
33,1,"Female","Married"
57,0,"Female","Married"
13,0,"Female","Unmarried"
13,1,"Female","Unmarried"
71,0,"Male","Unmarried"
18,0,"Male","Married"
17,1,"Female","Married"
22,0,"Male","Unmarried"
65,0,"Male","Married"
7,0,"Female","Unmarried"
72,0,"Female","Unmarried"
35,0,"Male","Unmarried"
24,0,"Male","Unmarried"
64,0,"Female","Married"
63,0,"Male","Married"
38,1,"Male","Married"
29,0,"Male","Married"
72,0,"Female","Married"
10,1,"Female","Married"
72,0,"Female","Unmarried"
52,0,"Female","Married"
13,0,"Female","Unmarried"
3,1,"Male","Unmarried"
39,1,"Male","Married"
28,0,"Male","Unmarried"
46,0,"Male","Unmarried"
62,0,"Female","Unmarried"
23,0,"Male","Married"
23,1,"Male","Married"
72,0,"Male","Married"
56,0,"Male","Unmarried"
8,0,"Female","Unmarried"
3,0,"Female","Unmarried"
37,0,"Male","Unmarried"
37,0,"Male","Married"
6,1,"Female","Unmarried"
48,1,"Male","Unmarried"
43,0,"Female","Married"
21,0,"Female","Unmarried"
6,1,"Male","Unmarried"
69,0,"Male","Unmarried"
22,0,"Male","Unmarried"
28,0,"Female","Married"
71,0,"Male","Married"
7,0,"Male","Unmarried"
63,0,"Male","Unmarried"
53,0,"Male","Unmarried"
50,0,"Male","Married"
39,0,"Male","Married"
16,0,"Female","Unmarried"
43,0,"Male","Married"
44,0,"Female","Unmarried"
72,0,"Female","Married"
61,0,"Male","Unmarried"
43,1,"Male","Married"
24,0,"Female","Unmarried"
64,1,"Female","Unmarried"
64,0,"Male","Unmarried"
24,0,"Female","Unmarried"
33,0,"Female","Married"
33,0,"Female","Married"
2,0,"Male","Unmarried"
42,0,"Female","Married"
52,1,"Male","Married"
45,0,"Female","Unmarried"
3,1,"Male","Unmarried"
37,0,"Female","Married"
28,1,"Female","Unmarried"
40,0,"Male","Married"
37,0,"Male","Unmarried"
7,1,"Male","Unmarried"
71,0,"Female","Unmarried"
19,0,"Female","Unmarried"
61,0,"Female","Unmarried"
70,0,"Female","Married"
60,0,"Female","Married"
48,0,"Female","Married"
8,0,"Male","Married"
58,0,"Male","Married"
16,0,"Male","Married"
33,0,"Female","Unmarried"
39,0,"Female","Unmarried"
62,0,"Male","Unmarried"
50,0,"Male","Unmarried"
48,0,"Male","Unmarried"
31,0,"Female","Unmarried"
65,0,"Male","Married"
36,0,"Female","Unmarried"
61,0,"Female","Unmarried"
48,0,"Male","Unmarried"
35,0,"Male","Unmarried"
51,0,"Male","Unmarried"
49,1,"Male","Married"
35,1,"Female","Married"
58,0,"Female","Unmarried"
23,0,"Male","Married"
26,0,"Female","Married"
38,0,"Female","Married"
35,0,"Female","Married"
37,0,"Female","Unmarried"
48,0,"Male","Married"
13,0,"Male","Married"
72,0,"Male","Married"
30,1,"Female","Unmarried"
24,0,"Female","Unmarried"
25,0,"Male","Married"
50,0,"Male","Unmarried"
28,0,"Male","Unmarried"
34,0,"Male","Unmarried"
48,0,"Male","Unmarried"
42,0,"Female","Married"
67,0,"Female","Married"
17,0,"Male","Married"
29,0,"Male","Married"
66,0,"Female","Unmarried"
1,1,"Female","Unmarried"
28,1,"Male","Married"
15,1,"Male","Married"
12,0,"Female","Unmarried"
48,1,"Female","Unmarried"
59,0,"Male","Married"
8,1,"Male","Married"
45,1,"Female","Unmarried"
25,1,"Female","Married"
21,0,"Male","Married"
17,0,"Female","Married"
41,1,"Male","Unmarried"
13,1,"Female","Married"
1,1,"Female","Married"
3,1,"Female","Married"
23,1,"Female","Married"
26,1,"Male","Unmarried"
37,0,"Male","Married"
5,1,"Male","Unmarried"
32,1,"Female","Married"
12,0,"Male","Unmarried"
72,0,"Male","Married"
3,1,"Female","Married"
54,0,"Male","Unmarried"
26,1,"Female","Unmarried"
14,0,"Female","Unmarried"
22,0,"Male","Unmarried"
65,0,"Female","Married"
26,0,"Male","Unmarried"
20,0,"Female","Unmarried"
67,0,"Male","Married"
34,0,"Male","Unmarried"
37,0,"Male","Married"
22,0,"Male","Married"
5,0,"Male","Unmarried"
28,0,"Female","Married"
20,0,"Female","Married"
72,0,"Male","Unmarried"
30,0,"Male","Unmarried"
71,0,"Male","Unmarried"
56,0,"Male","Unmarried"
8,1,"Male","Married"
32,0,"Female","Unmarried"
46,1,"Female","Unmarried"
60,0,"Male","Married"
42,0,"Female","Married"
71,0,"Male","Married"
72,0,"Female","Married"
45,0,"Female","Unmarried"
5,1,"Male","Unmarried"
17,0,"Female","Married"
70,0,"Male","Unmarried"
57,0,"Female","Married"
20,0,"Female","Unmarried"
72,0,"Male","Married"
32,0,"Male","Unmarried"
22,0,"Female","Married"
6,1,"Male","Unmarried"
32,0,"Female","Married"
38,0,"Male","Unmarried"
53,0,"Female","Unmarried"
37,0,"Female","Unmarried"
47,1,"Female","Married"
69,0,"Male","Unmarried"
63,0,"Female","Unmarried"
61,1,"Female","Married"
56,0,"Male","Married"
40,0,"Male","Married"
61,0,"Female","Unmarried"
16,0,"Male","Unmarried"
7,0,"Female","Unmarried"
20,0,"Female","Married"
35,0,"Male","Unmarried"
60,0,"Female","Married"
47,0,"Male","Unmarried"
33,0,"Female","Married"
12,0,"Male","Unmarried"
10,1,"Female","Unmarried"
69,0,"Female","Married"
23,0,"Female","Unmarried"
53,0,"Male","Unmarried"
60,0,"Female","Married"
33,0,"Male","Unmarried"
67,0,"Female","Married"
15,0,"Male","Married"
64,0,"Female","Married"
46,1,"Male","Married"
72,0,"Male","Married"
61,1,"Male","Married"
54,0,"Female","Unmarried"
28,0,"Female","Unmarried"
28,1,"Male","Unmarried"
32,0,"Female","Unmarried"
52,0,"Female","Unmarried"
48,0,"Female","Unmarried"
52,0,"Female","Married"
37,0,"Male","Unmarried"
41,0,"Male","Unmarried"
43,0,"Female","Married"
67,0,"Female","Unmarried"
61,0,"Female","Married"
70,0,"Female","Married"
44,0,"Female","Married"
46,0,"Male","Unmarried"
39,0,"Male","Unmarried"
39,0,"Female","Unmarried"
50,0,"Female","Married"
5,1,"Female","Unmarried"
10,1,"Female","Unmarried"
72,0,"Female","Unmarried"
68,0,"Female","Unmarried"
58,0,"Female","Unmarried"
18,0,"Female","Married"
65,0,"Female","Married"
8,1,"Male","Unmarried"
1,1,"Female","Unmarried"
42,0,"Female","Unmarried"
4,0,"Female","Married"
17,0,"Female","Unmarried"
8,1,"Female","Married"
49,0,"Female","Married"
56,0,"Male","Married"
62,0,"Male","Married"
42,0,"Female","Married"
13,0,"Male","Unmarried"
69,0,"Male","Married"
45,0,"Male","Unmarried"
66,0,"Male","Married"
15,1,"Male","Unmarried"
41,0,"Female","Married"
11,1,"Female","Unmarried"
45,1,"Male","Married"
52,0,"Male","Unmarried"
42,0,"Female","Unmarried"
48,0,"Male","Unmarried"
4,1,"Male","Unmarried"
53,0,"Female","Married"
1,0,"Male","Unmarried"
19,0,"Male","Married"
33,0,"Male","Unmarried"
42,0,"Male","Married"
60,0,"Female","Unmarried"
57,0,"Female","Married"
64,0,"Male","Unmarried"
28,0,"Male","Married"
29,1,"Male","Married"
46,0,"Male","Married"
22,1,"Male","Married"
10,0,"Male","Unmarried"
50,1,"Female","Unmarried"
55,0,"Female","Unmarried"
15,0,"Male","Unmarried"
31,0,"Female","Married"
5,1,"Female","Unmarried"
69,0,"Female","Unmarried"
26,1,"Male","Married"
10,1,"Female","Married"
26,1,"Male","Unmarried"
25,0,"Female","Unmarried"
30,0,"Male","Married"
21,0,"Male","Married"
71,0,"Female","Unmarried"
11,1,"Male","Married"
24,0,"Female","Married"
65,0,"Male","Married"
16,1,"Female","Married"
37,0,"Male","Married"
5,1,"Male","Unmarried"
3,1,"Female","Married"
5,1,"Male","Unmarried"
60,0,"Male","Married"
19,1,"Female","Married"
54,0,"Female","Unmarried"
25,0,"Female","Unmarried"
1,1,"Male","Unmarried"
54,0,"Female","Unmarried"
14,0,"Female","Married"
14,1,"Male","Married"
10,1,"Female","Married"
7,0,"Female","Unmarried"
33,1,"Male","Unmarried"
3,0,"Male","Unmarried"
56,0,"Male","Married"
54,0,"Female","Unmarried"
72,0,"Male","Married"
18,0,"Male","Unmarried"
25,1,"Male","Unmarried"
42,0,"Female","Unmarried"
4,0,"Male","Unmarried"
12,1,"Male","Married"
53,0,"Female","Married"
13,1,"Male","Married"
18,0,"Male","Married"
67,0,"Female","Married"
6,0,"Male","Unmarried"
25,0,"Female","Unmarried"
15,1,"Male","Unmarried"
32,0,"Male","Unmarried"
22,1,"Male","Unmarried"
8,0,"Male","Unmarried"
3,1,"Male","Married"
32,0,"Male","Unmarried"
49,0,"Male","Unmarried"
2,0,"Female","Unmarried"
39,1,"Female","Unmarried"
42,0,"Male","Unmarried"
28,0,"Male","Unmarried"
41,0,"Male","Married"
67,0,"Male","Married"
38,0,"Female","Unmarried"
18,1,"Female","Unmarried"
6,0,"Female","Married"
4,0,"Female","Unmarried"
13,0,"Female","Married"
20,1,"Male","Unmarried"
34,0,"Female","Married"
46,0,"Male","Married"
48,0,"Male","Unmarried"
69,0,"Male","Married"
32,0,"Male","Married"
29,0,"Male","Unmarried"
55,0,"Female","Unmarried"
72,0,"Female","Married"
29,1,"Female","Unmarried"
50,0,"Female","Married"
35,1,"Male","Married"
11,1,"Male","Unmarried"
9,0,"Female","Unmarried"
51,1,"Male","Unmarried"
33,0,"Female","Married"
25,0,"Male","Unmarried"
31,0,"Female","Unmarried"
67,0,"Female","Married"
55,0,"Male","Unmarried"
19,0,"Female","Unmarried"
39,0,"Female","Married"
52,0,"Male","Married"
55,0,"Female","Married"
25,1,"Female","Unmarried"
33,0,"Female","Unmarried"
48,1,"Male","Unmarried"
48,0,"Male","Married"
49,0,"Female","Unmarried"
54,1,"Male","Married"
45,0,"Male","Married"
4,1,"Female","Married"
49,1,"Female","Married"
23,1,"Male","Unmarried"
31,1,"Male","Unmarried"
55,0,"Male","Married"
9,0,"Female","Unmarried"
55,0,"Male","Married"
34,0,"Female","Unmarried"
10,0,"Male","Unmarried"
62,0,"Female","Unmarried"
51,0,"Male","Unmarried"
65,0,"Male","Unmarried"
53,0,"Male","Unmarried"
23,1,"Male","Unmarried"
1,1,"Male","Unmarried"
66,0,"Female","Unmarried"
8,0,"Female","Married"
18,0,"Female","Married"
36,0,"Male","Married"
13,1,"Female","Unmarried"
4,1,"Female","Unmarried"
20,0,"Male","Unmarried"
66,0,"Male","Married"
67,0,"Male","Married"
11,1,"Female","Married"
6,1,"Female","Unmarried"
13,0,"Female","Married"
2,1,"Female","Married"
4,0,"Male","Unmarried"
34,0,"Female","Married"
13,0,"Male","Married"
37,0,"Male","Married"
45,0,"Male","Married"
71,0,"Female","Unmarried"
35,0,"Female","Unmarried"
44,0,"Male","Unmarried"
44,0,"Male","Married"
26,0,"Female","Married"
42,0,"Female","Married"
41,1,"Male","Married"
31,0,"Male","Married"
62,1,"Male","Unmarried"
12,0,"Female","Married"
45,0,"Female","Married"
47,0,"Female","Married"
23,0,"Male","Married"
39,0,"Female","Unmarried"
19,0,"Male","Unmarried"
13,0,"Male","Unmarried"
5,1,"Male","Unmarried"
11,1,"Male","Unmarried"
4,1,"Male","Unmarried"
17,1,"Male","Unmarried"
7,1,"Male","Unmarried"
19,0,"Male","Unmarried"
32,0,"Male","Married"
53,0,"Male","Unmarried"
51,0,"Female","Unmarried"
35,0,"Female","Unmarried"
3,1,"Male","Married"
22,1,"Male","Unmarried"
17,0,"Female","Married"
68,0,"Female","Unmarried"
27,0,"Female","Married"
68,0,"Female","Married"
56,0,"Male","Married"
11,0,"Female","Unmarried"
5,1,"Female","Unmarried"
16,0,"Female","Unmarried"
59,0,"Female","Unmarried"
60,0,"Male","Unmarried"
55,0,"Male","Unmarried"
18,0,"Male","Unmarried"
16,1,"Female","Unmarried"
35,0,"Male","Married"
31,1,"Female","Married"
20,0,"Female","Married"
16,1,"Female","Unmarried"
69,0,"Male","Married"
69,0,"Male","Married"
27,1,"Female","Married"
48,0,"Male","Unmarried"
18,0,"Female","Married"
24,0,"Female","Married"
17,1,"Male","Unmarried"
9,0,"Female","Married"
15,1,"Female","Unmarried"
62,0,"Female","Married"
9,1,"Male","Unmarried"
71,0,"Female","Married"
62,0,"Male","Married"
20,0,"Male","Unmarried"
19,0,"Male","Married"
49,0,"Male","Married"
3,1,"Male","Unmarried"
33,1,"Male","Unmarried"
38,1,"Female","Unmarried"
42,0,"Female","Married"
11,1,"Male","Unmarried"
27,0,"Male","Married"
23,0,"Female","Unmarried"
4,0,"Male","Married"
36,1,"Female","Unmarried"
37,0,"Female","Unmarried"
24,0,"Male","Married"
4,1,"Male","Unmarried"
54,0,"Female","Unmarried"
7,1,"Female","Unmarried"
10,1,"Male","Unmarried"
24,0,"Female","Married"
12,1,"Male","Unmarried"
45,0,"Female","Unmarried"
59,0,"Female","Married"
3,0,"Female","Married"
8,1,"Male","Unmarried"
16,0,"Female","Unmarried"
32,0,"Female","Unmarried"
8,1,"Female","Unmarried"
9,1,"Male","Married"
12,0,"Female","Married"
24,0,"Male","Married"
72,0,"Female","Unmarried"
58,0,"Female","Unmarried"
70,0,"Male","Married"
9,1,"Female","Unmarried"
49,0,"Female","Unmarried"
52,0,"Male","Unmarried"
10,1,"Female","Married"
14,0,"Male","Married"
19,0,"Male","Married"
12,1,"Female","Married"
65,0,"Female","Unmarried"
67,0,"Male","Married"
29,0,"Male","Married"
55,0,"Female","Unmarried"
71,0,"Female","Married"
5,1,"Female","Married"
60,0,"Female","Unmarried"
10,1,"Female","Unmarried"
52,0,"Male","Unmarried"
61,0,"Male","Married"
61,0,"Male","Married"
67,0,"Male","Married"
41,0,"Male","Married"
30,1,"Female","Unmarried"
24,0,"Male","Unmarried"
72,0,"Female","Unmarried"
17,1,"Male","Unmarried"
65,0,"Male","Unmarried"
15,0,"Male","Married"
34,1,"Female","Unmarried"
26,1,"Female","Unmarried"
36,0,"Female","Unmarried"
60,0,"Female","Unmarried"
16,0,"Male","Unmarried"
1,1,"Female","Unmarried"
56,0,"Male","Married"
6,0,"Male","Unmarried"
48,0,"Female","Unmarried"
34,0,"Male","Married"
54,1,"Male","Married"
38,0,"Female","Married"
25,1,"Female","Unmarried"
47,1,"Female","Married"
72,0,"Male","Married"
6,0,"Female","Married"
30,0,"Female","Married"
65,0,"Female","Married"
22,0,"Male","Married"
60,0,"Male","Unmarried"
19,1,"Female","Unmarried"
18,0,"Female","Unmarried"
9,1,"Female","Married"
1,1,"Female","Married"
10,0,"Female","Married"
45,1,"Male","Married"
25,1,"Female","Married"
66,0,"Female","Unmarried"
27,1,"Female","Unmarried"
19,0,"Male","Unmarried"
17,0,"Male","Married"
16,0,"Male","Unmarried"
8,0,"Female","Married"
3,1,"Female","Unmarried"
59,0,"Female","Unmarried"
45,0,"Female","Unmarried"
66,0,"Female","Unmarried"
28,0,"Male","Married"
15,1,"Male","Married"
39,0,"Female","Married"
38,0,"Female","Unmarried"
34,0,"Female","Unmarried"
60,0,"Male","Married"
72,0,"Female","Married"
42,0,"Male","Married"
32,0,"Male","Unmarried"
48,1,"Female","Married"
63,0,"Female","Married"
45,0,"Male","Married"
68,0,"Male","Unmarried"
6,0,"Female","Married"
68,1,"Female","Married"
72,0,"Female","Married"
53,0,"Female","Married"
20,0,"Male","Married"
70,0,"Male","Married"
32,0,"Female","Unmarried"
61,1,"Male","Married"
24,0,"Male","Married"
56,0,"Female","Married"
54,0,"Male","Unmarried"
43,0,"Female","Married"
19,1,"Female","Unmarried"
5,0,"Female","Unmarried"
24,1,"Female","Married"
62,0,"Female","Married"
14,1,"Female","Unmarried"
60,0,"Female","Married"
30,0,"Female","Married"
40,1,"Male","Married"
42,0,"Female","Married"
20,1,"Female","Unmarried"
4,0,"Female","Married"
44,0,"Female","Married"
49,0,"Male","Unmarried"
5,1,"Female","Married"
70,0,"Male","Married"
30,1,"Male","Married"
28,1,"Female","Unmarried"
5,0,"Male","Married"
27,0,"Female","Unmarried"
17,1,"Female","Unmarried"
4,0,"Female","Married"
30,0,"Female","Married"
71,0,"Female","Married"
67,0,"Female","Unmarried"
24,0,"Female","Married"
24,1,"Female","Married"
59,0,"Female","Unmarried"
59,1,"Male","Unmarried"
44,0,"Female","Married"
19,1,"Male","Married"
58,0,"Female","Married"
41,0,"Male","Married"
16,1,"Male","Unmarried"
13,1,"Male","Unmarried"
60,0,"Female","Unmarried"
72,0,"Female","Married"
33,0,"Female","Unmarried"
72,0,"Female","Married"
66,0,"Female","Married"
53,0,"Female","Married"
22,0,"Male","Married"
14,0,"Female","Married"
52,0,"Female","Unmarried"
33,0,"Male","Married"
72,0,"Female","Unmarried"
40,1,"Female","Married"
29,1,"Female","Unmarried"
63,0,"Male","Unmarried"
56,0,"Female","Unmarried"
60,0,"Female","Married"
28,0,"Male","Married"
39,0,"Male","Unmarried"
65,0,"Male","Married"
29,0,"Female","Unmarried"
28,0,"Female","Unmarried"
2,1,"Male","Unmarried"
67,0,"Female","Unmarried"
5,0,"Female","Married"
48,0,"Male","Unmarried"
10,0,"Female","Married"
17,1,"Female","Unmarried"
21,0,"Female","Married"
25,0,"Male","Unmarried"
44,1,"Male","Unmarried"
59,1,"Female","Unmarried"
11,0,"Male","Unmarried"
50,0,"Male","Married"
23,0,"Female","Married"
17,1,"Female","Unmarried"
15,0,"Male","Married"
68,0,"Female","Married"
69,0,"Female","Married"
30,1,"Female","Married"
22,0,"Male","Unmarried"
10,1,"Female","Married"
72,0,"Female","Married"
34,0,"Female","Married"
43,0,"Male","Married"
31,0,"Male","Married"
6,1,"Male","Married"
48,0,"Male","Unmarried"
50,0,"Male","Unmarried"
20,0,"Female","Married"
61,0,"Male","Unmarried"
6,0,"Female","Unmarried"
1,1,"Male","Unmarried"
21,1,"Female","Unmarried"
7,0,"Male","Unmarried"
65,0,"Female","Married"
64,0,"Female","Unmarried"
4,1,"Male","Unmarried"
67,0,"Female","Married"
22,1,"Male","Unmarried"
51,0,"Female","Married"
50,0,"Female","Unmarried"
31,0,"Male","Married"
4,1,"Female","Unmarried"
60,0,"Male","Unmarried"
7,1,"Female","Married"
20,0,"Female","Unmarried"
19,1,"Female","Married"
58,1,"Female","Married"
65,1,"Female","Unmarried"
72,0,"Male","Married"
8,0,"Male","Unmarried"
33,0,"Male","Married"
18,0,"Female","Married"
24,0,"Male","Married"
70,0,"Female","Unmarried"
7,1,"Male","Unmarried"
70,0,"Female","Unmarried"
20,1,"Female","Married"
54,0,"Male","Married"
36,0,"Male","Unmarried"
71,0,"Female","Married"
17,0,"Male","Unmarried"
18,0,"Male","Married"
16,1,"Female","Unmarried"
38,0,"Female","Married"
52,0,"Female","Married"
46,0,"Male","Married"
31,0,"Male","Unmarried"
23,0,"Male","Unmarried"
38,0,"Female","Married"
50,0,"Female","Unmarried"
16,0,"Male","Unmarried"
14,0,"Female","Married"
30,1,"Female","Unmarried"
22,1,"Female","Married"
38,0,"Male","Married"
59,1,"Female","Married"
54,0,"Male","Unmarried"
9,1,"Female","Unmarried"
67,0,"Female","Married"
24,0,"Female","Unmarried"
12,1,"Female","Married"
26,0,"Male","Unmarried"
3,1,"Male","Unmarried"
20,0,"Female","Unmarried"
5,1,"Male","Married"
58,1,"Female","Unmarried"
54,0,"Male","Married"
52,0,"Female","Unmarried"
38,0,"Female","Married"
19,0,"Male","Unmarried"
22,0,"Male","Married"
49,0,"Male","Married"
5,0,"Female","Unmarried"
18,0,"Male","Unmarried"
43,0,"Female","Unmarried"
17,1,"Male","Unmarried"
37,1,"Female","Unmarried"
8,0,"Female","Unmarried"
51,0,"Female","Married"
71,0,"Female","Married"
56,0,"Female","Married"
70,0,"Male","Unmarried"
62,0,"Female","Unmarried"
50,0,"Female","Married"
1,1,"Female","Unmarried"
15,1,"Male","Unmarried"
72,0,"Female","Married"
69,1,"Male","Married"
32,0,"Male","Unmarried"
19,1,"Female","Married"
42,0,"Female","Unmarried"
51,0,"Male","Unmarried"
32,1,"Female","Married"
26,0,"Male","Married"
39,0,"Male","Married"
72,0,"Female","Unmarried"
4,1,"Male","Unmarried"
54,0,"Male","Married"
34,0,"Female","Married"
20,0,"Female","Married"
14,0,"Male","Unmarried"
61,0,"Female","Unmarried"
4,1,"Male","Unmarried"
16,1,"Male","Unmarried"
13,0,"Female","Unmarried"
53,1,"Female","Married"
58,1,"Female","Married"
25,0,"Female","Married"
71,0,"Male","Married"
22,1,"Female","Married"
46,0,"Male","Married"
66,0,"Male","Married"
69,0,"Female","Married"
38,0,"Male","Married"
16,0,"Male","Unmarried"
44,0,"Male","Married"
50,0,"Male","Unmarried"
10,0,"Female","Unmarried"
7,0,"Male","Unmarried"
71,0,"Male","Unmarried"
16,0,"Female","Married"
6,0,"Female","Unmarried"
46,0,"Male","Unmarried"
51,0,"Male","Married"
5,1,"Male","Unmarried"
49,0,"Female","Married"
49,0,"Male","Married"
26,0,"Male","Married"
22,1,"Female","Unmarried"
51,0,"Male","Married"
19,1,"Male","Married"
9,1,"Female","Unmarried"
15,0,"Female","Married"
57,0,"Male","Unmarried"
48,0,"Female","Unmarried"
9,1,"Female","Married"
61,0,"Male","Unmarried"
72,0,"Male","Unmarried"
57,0,"Female","Unmarried"
57,0,"Male","Unmarried"
37,0,"Male","Married"
45,0,"Male","Unmarried"
45,0,"Female","Married"
55,0,"Female","Unmarried"
24,1,"Male","Unmarried"
1,1,"Male","Unmarried"
34,0,"Female","Married"
14,0,"Female","Married"
6,0,"Male","Unmarried"
24,1,"Male","Unmarried"
3,1,"Female","Married"
4,1,"Male","Unmarried"
72,0,"Male","Married"
44,1,"Female","Unmarried"
50,0,"Male","Unmarried"
61,0,"Female","Married"
34,0,"Male","Married"
26,1,"Female","Married"
15,1,"Male","Married"
10,0,"Female","Unmarried"
7,0,"Female","Unmarried"
67,0,"Female","Unmarried"
70,0,"Female","Unmarried"
50,1,"Female","Married"
